Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Метки;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория комиссии;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Вывезти и нанести КИЗ (кроме Твери), шт;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
'14332032-черный-33;29857997;184411298;4811566360646;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1636.00;4090.00;;10%
'14332032-черный-36;29857998;184411295;4811566360677;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1636.00;4090.00;;10%
'14332032-черный-34;29857999;184411308;4811566360653;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1636.00;4090.00;;10%
'14332032-черный-32;29858000;184411307;4811566360639;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1636.00;4090.00;;10%
'14332032-черный-35;29858001;184411305;4811566360660;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1636.00;4090.00;;10%
'143320301-черный-36;29858002;184411306;4811566360578;Полуботинки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1862.00;3724.00;;10%
'143320303-черный-36;29858003;184578602;4811566360257;Слипоны для девочек / Кожаные слипоны детские Shuzzi;'57.5;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1624.00;4060.00;;10%
'143320303-черный-35;29858004;184578605;4811566360240;Слипоны для девочек / Кожаные слипоны детские Shuzzi;'57.5;Shuzzi;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1624.00;4060.00;;10%
'143320303-черный-34;29858005;184578603;4811566360233;Слипоны для девочек / Кожаные слипоны детские Shuzzi;'57.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1624.00;4060.00;;10%
'143320303-черный-33;29858006;184578604;4811566360226;Слипоны для девочек / Кожаные слипоны детские Shuzzi;'57.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1624.00;4060.00;;10%
'143320301-черный-33;29858007;184411309;4811566360547;Полуботинки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1862.00;3724.00;;10%
'143320201-черный-37;29858008;184411316;4811566360356;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1649.00;4122.00;;10%
'143320301-черный-34;29858009;184411319;4811566360554;Полуботинки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;3;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1862.00;3724.00;;10%
'143320301-черный-35;29858010;184411317;4811566360561;Полуботинки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1862.00;3724.00;;10%
'143320301-черный-32;29858011;184411315;4811566360530;Полуботинки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1862.00;3724.00;;10%
'143320201-черный-35;29858012;184411318;4811566360332;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1649.00;4122.00;;10%
'143320201-черный-36;29858013;184411325;4811566360349;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1649.00;4122.00;;10%
'143320201-черный-33;29858014;184411328;4811566360318;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1649.00;4122.00;;10%
'143320115-белый-37;29858015;184573884;4811566360523;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1817.00;4542.00;;10%
'143320201-черный-34;29858016;184411329;4811566360325;Кроссовки Shuzzi для девочек;'80;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1649.00;4122.00;;10%
'143320115-белый-33;29858017;184573885;4811566360486;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1817.00;4542.00;;10%
'143320115-белый-32;29858018;184573888;4811566360479;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1817.00;4542.00;;10%
'143320115-белый-36;29858019;184573887;4811566360516;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1817.00;4542.00;;10%
'143320115-белый-34;29858020;184573886;4811566360493;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1817.00;4542.00;;10%
'143320115-белый-35;29858021;184573896;4811566360509;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1817.00;4542.00;;10%
'143319963-черный-34;29858022;184411327;4811566360592;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1245.00;2490.00;;10%
'143319963-черный-35;29858023;184411326;4811566360608;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1245.00;2490.00;;10%
'143319963-черный-33;29858024;184411339;4811566360585;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1245.00;2490.00;;10%
'143319963-черный-37;29858025;184411335;4811566360622;Кроссовки Shuzzi для девочек;'57.5;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1245.00;2490.00;;10%
'143319963-черный-36;29858026;184411336;4811566360615;Кроссовки Shuzzi для девочек;'72.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1245.00;2490.00;;10%
'143319200-черный-36;29858027;184573895;4811566360301;Кеды детские девочки подростковые спортивные полукеды демисезонные;'57.5;Shuzzi;Готов к продаже;;3;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1566.00;3915.00;;10%
'143319200-черный-35;29858028;184573897;4811566360295;Кеды детские девочки подростковые спортивные полукеды демисезонные;'57.5;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1566.00;3915.00;;10%
'143319200-черный-34;29858029;184573898;4811566360288;Кеды детские для девочек подростковые, спортивная обувь полукеды весна демисезон;'57.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1566.00;3915.00;;10%
'143319200-черный-32;29858030;184573894;4811566360264;Кеды детские для девочек подростковые, спортивная обувь полукеды весна демисезон;'57.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1566.00;3915.00;;10%
'143319200-черный-33;29858031;184573904;4811566360271;Кеды детские для девочек подростковые, спортивная обувь полукеды весна демисезон;'57.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1566.00;3915.00;;10%
'1433192001-черный-36;29858032;184573906;4811566360196;Кеды детские для девочек подростковые, спортивная обувь полукеды весна демисезон;'57.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1529.00;3822.00;;10%
'1433192001-черный-35;29858033;184573905;4811566360189;Кеды детские для девочек подростковые, спортивная обувь полукеды весна демисезон;'57.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1529.00;3822.00;;10%
'1433192001-черный-34;29858034;184573907;4811566360172;Кеды детские девочки подростковые спортивные полукеды демисезонные;'57.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1529.00;3822.00;;10%
'1433192001-черный-33;29858035;184573908;4811566360165;Кеды детские девочки подростковые спортивные полукеды демисезонные;'57.5;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1529.00;3822.00;;10%
'1433192001-черный-37;29858036;184573914;4811566360202;Кеды детские для девочек подростковые, спортивная обувь полукеды весна демисезон;'57.5;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'5.46;'1.1;0;0;0;0;0;0;1529.00;3822.00;;10%
'142902193-черный-38;29858038;184411337;4811566362183;Кроссовки женские, Полуботинки спортивные для женщин;'57.5;Obba;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;2318.00;5795.00;;20%
'142902193-черный-39;29858039;184411338;4811566362190;Кроссовки женские, Полуботинки спортивные для женщин;'57.5;Obba;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;2318.00;5795.00;;20%
'14281222-синий-45;29858040;184573916;4811566359435;Кроссовки мужские, полуботинк спортивные, ботинки для мужчин;'65;O.Live naturalle;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'7.96;'1.6;0;0;0;0;0;0;2740.00;6850.00;;20%
'142902193-черный-41;29858041;184411345;4811566362213;Кроссовки женские, Полуботинки спортивные для женщин;'57.5;Obba;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;2318.00;5795.00;;20%
'142902193-черный-40;29858042;184411347;4811566362206;Кроссовки женские, Полуботинки спортивные для женщин;'57.5;Obba;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;2318.00;5795.00;;20%
'14281222-синий-44;29858043;184573915;4811566359428;Кроссовки мужские, полуботинк спортивные, ботинки для мужчин;'65;O.Live naturalle;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'7.96;'1.6;0;0;0;0;0;0;2740.00;6850.00;;20%
'14281222-синий-42;29858044;184573918;4811566359404;Кроссовки мужские, полуботинк спортивные, ботинки для мужчин;'65;O.Live naturalle;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'7.96;'1.6;0;0;0;0;0;0;2740.00;6850.00;;20%
'14281222-синий-43;29858045;184573917;4811566359411;Кроссовки мужские, полуботинк спортивные, ботинки для мужчин;'65;O.Live naturalle;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'7.96;'1.6;0;0;0;0;0;0;2740.00;6850.00;;20%
'14281222-синий-40;29858046;184573927;4811566359381;Кроссовки мужские, полуботинк спортивные, ботинки для мужчин;'65;O.Live naturalle;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'7.96;'1.6;0;0;0;0;0;0;2740.00;6850.00;;20%
'14281222-синий-41;29858047;184573928;4811566359398;Кроссовки мужские, полуботинк спортивные, ботинки для мужчин;'65;O.Live naturalle;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'7.96;'1.6;0;0;0;0;0;0;2740.00;6850.00;;20%
'142019080-черный-38;29858048;184411346;4811566368178;Кроссовки женские, Полуботинки спортивные для женщин;'57.5;Obba;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;3727.00;9317.00;;20%
'140090531-серый-32;29858049;184573925;4811566361704;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'3.34;'0.8;0;0;0;0;0;0;1388.00;3470.00;;10%
'140090531-серый-31;29858050;184573924;4811566361698;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'3.34;'0.8;0;0;0;0;0;0;1388.00;3470.00;;10%
'142019080-черный-39;29858051;184411349;4811566368185;Кроссовки женские, Полуботинки спортивные для женщин;'57.5;Obba;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;3727.00;9317.00;;20%
'140090531-серый-30;29858052;184573926;4811566361681;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'3.34;'0.8;0;0;0;0;0;0;1388.00;3470.00;;10%
'140003901-синий-35;29858053;184411348;4811566361742;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.54;'0.9;0;0;0;0;0;0;1427.00;3567.00;;10%
'140090531-серый-29;29858054;184573935;4811566361674;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'3.34;'0.8;0;0;0;0;0;0;1388.00;3470.00;;10%
'140003901-синий-36;29858055;184411358;4811566361759;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'4.54;'0.9;0;0;0;0;0;0;1427.00;3567.00;;10%
'140090531-серый-28;29858056;184573938;4811566361667;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'3.34;'0.8;0;0;0;0;0;0;1388.00;3470.00;;10%
'140003901-синий-37;29858057;184411359;4811566361766;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.54;'0.9;0;0;0;0;0;0;1427.00;3567.00;;10%
'140003901-синий-34;29858058;184411357;4811566361735;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.54;'0.9;0;0;0;0;0;0;1427.00;3567.00;;10%
'140003901-синий-32;29858059;184411355;4811566361711;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.54;'0.9;0;0;0;0;0;0;1427.00;3567.00;;10%
'1398034-черный-39;29858060;184573936;4811566370294;Полуботинки женские, Ботинки на весну и осень;'50;O.Live naturalle;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.80;'1.0;0;0;0;0;0;0;2599.00;5198.00;;20%
'140003901-синий-33;29858061;184411356;4811566361728;Туфли Shuzzi для девочек;'50;Shuzzi;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.54;'0.9;0;0;0;0;0;0;1427.00;3567.00;;10%
'1398034-черный-38;29858062;184573934;4811566370287;Полуботинки женские, Ботинки на весну и осень;'50;O.Live naturalle;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.80;'1.0;0;0;0;0;0;0;2599.00;5198.00;;20%
'1391507-черный-38;29858063;184696375;4811566359589;Ботинки женские на осень;'50;Enjoin;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1393.00;3482.00;;20%
'1391507-черный-40;29858064;184695383;4811566359602;Ботинки женские на осень;'50;Enjoin;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1393.00;3482.00;;20%
'138581-черный-39;29858065;184695389;4811566398328;Ботинки женские на осень;'57.5;Enjoin;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1833.00;4582.00;;20%
'138581-черный-40;29858066;184696370;4811566398335;Ботинки женские на осень;'57.5;Enjoin;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1833.00;4582.00;;20%
'1391507-черный-39;29858067;184696374;4811566359596;Ботинки женские на осень;'50;Enjoin;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1393.00;3482.00;;20%
'138224-черный-37;29858068;184573937;4811566392418;Кроссовки женские, Полуботинки спортивные для женщин;'65;Obba;Готов к продаже;;3;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;3301.00;8252.00;;20%
'138224-черный-40;29858069;184573947;4811566392449;Кроссовки женские, Полуботинки спортивные для женщин;'65;Obba;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;3301.00;8252.00;;20%
'138581-черный-38;29858070;184696398;4811566398311;Ботинки женские на осень;'57.5;Enjoin;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1833.00;4582.00;;20%
'138224-черный-39;29858071;184573946;4811566392432;Кроссовки женские, Полуботинки спортивные для женщин;'65;Obba;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;3301.00;8252.00;;20%
'138224-черный-38;29858072;184573948;4811566392425;Кроссовки женские, Полуботинки спортивные для женщин;'65;Obba;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;3301.00;8252.00;;20%
'138221-серый-40;29858073;184573945;4811566392326;Кроссовки женские, Полуботинки спортивные для женщин;'70;Obba;Готов к продаже;;2;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1999.00;4997.00;;20%
'138221-серый-39;29858074;184573944;4811566392319;Кроссовки женские, Полуботинки спортивные для женщин;'70;Obba;Готов к продаже;;3;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1999.00;4997.00;;20%
'138221-серый-37;29858075;184573957;4811566392296;Кроссовки женские, Полуботинки спортивные для женщин;'70;Obba;Готов к продаже;;3;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1999.00;4997.00;;20%
'138221-серый-38;29858076;184573955;4811566392302;Кроссовки женские, Полуботинки спортивные для женщин;'70;Obba;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'4.86;'1.0;0;0;0;0;0;0;1999.00;4997.00;;20%
'1303913-черный-46;29858077;184411368;4811566241327;Кроссовки мужские, Полуботинки спортивные для мужчин;'80;X-Plode;Готов к продаже;;0;'0.00;Показывается;;03.08.2020 12:21;;'7.96;'1.6;0;0;0;0;0;0;2549.00;6372.00;;20%
'1303913-черный-45;29858079;184411365;4811566241358;Кроссовки мужские, Полуботинки спортивные для мужчин;'80;X-Plode;Готов к продаже;;1;'0.00;Показывается;;03.08.2020 12:21;;'7.96;'1.6;0;0;0;0;0;0;2549.00;6372.00;;20%
